timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
115216,-0.13,-0.18,9.89,0
115219,-0.10,-0.18,9.87,0
115222,-0.12,-0.17,9.89,0
115225,-0.10,-0.18,9.88,0
115228,-0.10,-0.16,9.88,0
115231,-0.11,-0.16,9.89,0
115233,-0.11,-0.17,9.88,0
115237,-0.13,-0.16,9.89,0
115239,-0.11,-0.18,9.88,0
115242,-0.11,-0.18,9.86,0
115245,-0.12,-0.18,9.89,0
115248,-0.11,-0.17,9.89,0
115251,-0.12,-0.17,9.89,0
115254,-0.11,-0.18,9.89,0
115257,-0.10,-0.17,9.88,0
115259,-0.13,-0.16,9.88,0
115262,-0.13,-0.19,9.89,0
115265,-0.12,-0.17,9.88,0
115268,-0.12,-0.19,9.87,0
115271,-0.11,-0.18,9.87,0
115274,-0.12,-0.16,9.87,0
115277,-0.12,-0.18,9.88,0
115279,-0.12,-0.17,9.87,0
115282,-0.12,-0.15,9.88,0
115285,-0.13,-0.18,9.88,0
115288,-0.11,-0.17,9.89,0
115291,-0.11,-0.16,9.87,0
115294,-0.12,-0.18,9.88,0
115297,-0.13,-0.17,9.87,0
115300,-0.11,-0.18,9.89,0
115303,-0.11,-0.17,9.87,0
115305,-0.11,-0.19,9.87,0
115308,-0.09,-0.19,9.90,0
115311,-0.14,-0.17,9.89,0
115314,-0.12,-0.16,9.89,0
115317,-0.10,-0.17,9.89,0
115320,-0.11,-0.16,9.89,0
115323,-0.12,-0.17,9.89,0
115325,-0.10,-0.18,9.87,0
115328,-0.11,-0.16,9.88,0
115331,-0.11,-0.18,9.89,0
115334,-0.11,-0.16,9.88,0
115337,-0.12,-0.18,9.86,0
115340,-0.13,-0.18,9.88,0
115343,-0.12,-0.16,9.88,0
115346,-0.10,-0.17,9.86,0
115349,-0.12,-0.18,9.88,0
115351,-0.11,-0.16,9.87,0
115354,-0.12,-0.17,9.88,0
115357,-0.13,-0.16,9.87,0
115360,-0.11,-0.17,9.88,0
115363,-0.12,-0.17,9.88,0
115366,-0.12,-0.17,9.88,0
115368,-0.11,-0.17,9.88,0
115371,-0.12,-0.17,9.88,0
115374,-0.12,-0.17,9.90,0
115377,-0.13,-0.16,9.88,0
115380,-0.11,-0.18,9.90,0
115383,-0.09,-0.18,9.89,0
115386,-0.10,-0.16,9.90,0
115389,-0.13,-0.16,9.89,0
115392,-0.13,-0.17,9.88,0
115394,-0.12,-0.18,9.89,0
115397,-0.11,-0.19,9.90,0
115400,-0.12,-0.17,9.86,0
115403,-0.14,-0.17,9.86,0
115406,-0.12,-0.19,9.86,0
115409,-0.13,-0.19,9.87,0
115411,-0.11,-0.18,9.86,0
115414,-0.10,-0.17,9.87,0
115417,-0.13,-0.18,9.87,0
115420,-0.10,-0.14,9.87,0
115423,-0.14,-0.17,9.87,0
115426,-0.14,-0.16,9.89,0
115428,-0.12,-0.19,9.87,0
115432,-0.14,-0.18,9.89,0
115434,-0.14,-0.17,9.89,0
115437,-0.14,-0.17,9.90,0
115440,-0.12,-0.18,9.90,0
115443,-0.14,-0.18,9.90,0
115446,-0.11,-0.17,9.90,0
115449,-0.11,-0.16,9.88,0
115452,-0.10,-0.17,9.89,0
115454,-0.11,-0.17,9.88,0
115457,-0.13,-0.18,9.88,0
115460,-0.13,-0.17,9.89,0
115463,-0.12,-0.16,9.90,0
115466,-0.12,-0.15,9.87,0
115469,-0.12,-0.17,9.87,0
115472,-0.13,-0.18,9.88,0
115474,-0.11,-0.16,9.87,0
115477,-0.09,-0.17,9.88,0
115480,-0.11,-0.17,9.87,0
115483,-0.11,-0.18,9.86,0
115486,-0.12,-0.18,9.87,0
115489,-0.11,-0.17,9.87,0
115492,-0.14,-0.17,9.89,0
115495,-0.10,-0.17,9.89,0
115498,-0.12,-0.16,9.88,0
115500,-0.14,-0.17,9.88,0
115503,-0.12,-0.17,9.88,0
115506,-0.14,-0.17,9.89,0
115509,-0.14,-0.18,9.88,0
115512,-0.12,-0.18,9.90,0
115515,-0.13,-0.17,9.88,0
115517,-0.12,-0.17,9.90,0
115520,-0.11,-0.18,9.89,0
115523,-0.10,-0.18,9.89,0
115526,-0.11,-0.18,9.87,0
115529,-0.12,-0.18,9.88,0
115532,-0.12,-0.15,9.86,0
115535,-0.12,-0.18,9.87,0
115538,-0.13,-0.16,9.89,0
115541,-0.11,-0.17,9.90,0
115543,-0.13,-0.17,9.89,0
115546,-0.12,-0.16,9.88,0
115549,-0.14,-0.17,9.88,0
115552,-0.11,-0.18,9.90,0
115555,-0.11,-0.18,9.88,0
115558,-0.13,-0.19,9.88,0
115561,-0.12,-0.16,9.89,0
115563,-0.14,-0.17,9.88,0
115566,-0.12,-0.16,9.90,0
115569,-0.11,-0.18,9.88,0
115572,-0.11,-0.17,9.87,0
115575,-0.13,-0.15,9.88,0
115578,-0.13,-0.18,9.87,0
115581,-0.13,-0.15,9.88,0
115584,-0.12,-0.16,9.88,0
115586,-0.14,-0.16,9.88,0
115589,-0.10,-0.18,9.86,0
115592,-0.12,-0.17,9.88,0
115595,-0.13,-0.17,9.85,0
115598,-0.11,-0.16,9.88,0
115601,-0.11,-0.18,9.87,0
115604,-0.12,-0.16,9.89,0
115606,-0.12,-0.18,9.88,0
115609,-0.12,-0.17,9.87,0
115612,-0.13,-0.17,9.89,0
115615,-0.12,-0.19,9.90,0
115618,-0.11,-0.18,9.89,0
115620,-0.13,-0.16,9.89,0
115623,-0.12,-0.18,9.87,0
115626,-0.12,-0.18,9.89,0
115629,-0.11,-0.16,9.88,0
115632,-0.12,-0.15,9.88,0
115635,-0.11,-0.16,9.88,0
115638,-0.11,-0.18,9.89,0
115641,-0.14,-0.16,9.88,0
115644,-0.13,-0.16,9.87,0
115647,-0.13,-0.18,9.87,0
115650,-0.13,-0.17,9.86,0
115652,-0.13,-0.18,9.87,0
115655,-0.12,-0.15,9.87,0
115658,-0.13,-0.20,9.87,0
115661,-0.13,-0.14,9.88,0
115664,-0.13,-0.15,9.89,0
115667,-0.14,-0.18,9.89,0
115669,-0.12,-0.18,9.89,0
115672,-0.11,-0.17,9.90,0
115675,-0.15,-0.18,9.88,0
115678,-0.14,-0.16,9.90,0
115681,-0.11,-0.18,9.90,0
115684,-0.12,-0.18,9.88,0
115687,-0.12,-0.17,9.88,0
115690,-0.12,-0.18,9.89,0
115692,-0.11,-0.17,9.88,0
115695,-0.13,-0.18,9.89,0
115698,-0.12,-0.17,9.89,0
115701,-0.12,-0.19,9.88,0
115704,-0.12,-0.17,9.88,0
115707,-0.11,-0.17,9.88,0
115710,-0.11,-0.16,9.88,0
115712,-0.12,-0.17,9.86,0
115715,-0.13,-0.16,9.88,0
115718,-0.11,-0.17,9.88,0
115721,-0.12,-0.16,9.88,0
115724,-0.13,-0.15,9.87,0
115727,-0.11,-0.17,9.87,0
115730,-0.13,-0.18,9.89,0
115733,-0.13,-0.18,9.88,0
115736,-0.12,-0.17,9.88,0
115738,-0.11,-0.16,9.88,0
115741,-0.14,-0.15,9.87,0
115744,-0.11,-0.17,9.88,0
115747,-0.12,-0.14,9.87,0
115750,-0.12,-0.18,9.88,0
115753,-0.13,-0.17,9.89,0
115756,-0.11,-0.18,9.88,0
115758,-0.13,-0.17,9.89,0
115761,-0.12,-0.17,9.89,0
115764,-0.11,-0.19,9.86,0
115767,-0.13,-0.17,9.89,0
115770,-0.13,-0.18,9.88,0
115773,-0.14,-0.18,9.88,0
115776,-0.12,-0.18,9.87,0
115779,-0.13,-0.15,9.89,0
115782,-0.12,-0.19,9.90,0
115784,-0.12,-0.15,9.89,0
115787,-0.11,-0.17,9.88,0
115790,-0.12,-0.15,9.88,0
115793,-0.12,-0.18,9.88,0
115796,-0.12,-0.17,9.88,0
115799,-0.15,-0.18,9.87,0
115801,-0.12,-0.17,9.88,0
115804,-0.11,-0.17,9.89,0
115807,-0.14,-0.18,9.88,0
115810,-0.16,-0.16,9.88,0
115813,-0.11,-0.17,9.88,0
115816,-0.12,-0.20,9.89,0
115819,-0.12,-0.18,9.90,0
115822,-0.13,-0.17,9.88,0
115825,-0.12,-0.17,9.87,0
115827,-0.09,-0.17,9.88,0
115830,-0.12,-0.18,9.89,0
115833,-0.14,-0.17,9.89,0
115836,-0.15,-0.15,9.90,0
115839,-0.13,-0.16,9.91,0
115842,-0.12,-0.15,9.88,0
115844,-0.13,-0.17,9.87,0
115847,-0.10,-0.16,9.88,0
115850,-0.09,-0.16,9.87,0
115853,-0.11,-0.17,9.88,0
115856,-0.11,-0.17,9.88,0
115859,-0.11,-0.17,9.88,0
115862,-0.12,-0.18,9.87,0
115864,-0.12,-0.17,9.88,0
115867,-0.13,-0.17,9.88,0
115870,-0.11,-0.20,9.89,0
115873,-0.10,-0.17,9.88,0
115876,-0.11,-0.17,9.87,0
115879,-0.13,-0.18,9.91,0
115882,-0.12,-0.18,9.88,0
115885,-0.14,-0.17,9.90,0
115888,-0.11,-0.17,9.88,0
115890,-0.10,-0.17,9.89,0
115893,-0.13,-0.17,9.87,0
115896,-0.13,-0.16,9.88,0
115899,-0.11,-0.18,9.88,0
115902,-0.14,-0.17,9.87,0
115905,-0.13,-0.16,9.87,0
115907,-0.11,-0.17,9.88,0
115910,-0.11,-0.18,9.88,0
115913,-0.13,-0.18,9.88,0
115916,-0.14,-0.18,9.87,0
115919,-0.12,-0.17,9.88,0
115922,-0.11,-0.18,9.89,0
115925,-0.10,-0.17,9.88,0
115928,-0.13,-0.17,9.90,0
115931,-0.13,-0.18,9.89,0
115933,-0.12,-0.16,9.89,0
115936,-0.12,-0.16,9.87,0
115939,-0.11,-0.17,9.87,0
115942,-0.12,-0.17,9.88,0
115945,-0.14,-0.18,9.88,0
115948,-0.13,-0.16,9.88,0
115951,-0.14,-0.19,9.87,0
115953,-0.11,-0.17,9.88,0
115956,-0.11,-0.19,9.87,0
115959,-0.13,-0.17,9.87,0
115962,-0.13,-0.17,9.88,0
115965,-0.12,-0.16,9.90,0
115968,-0.11,-0.17,9.88,0
115971,-0.13,-0.17,9.89,0
115974,-0.12,-0.16,9.88,0
115977,-0.11,-0.17,9.88,0
115979,-0.11,-0.18,9.88,0
115982,-0.12,-0.16,9.87,0
115985,-0.14,-0.16,9.88,0
115988,-0.13,-0.16,9.88,0
115991,-0.13,-0.16,9.86,0
115994,-0.12,-0.18,9.89,0
