timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
98006,-0.32,0.98,9.83,0
98009,-0.32,0.99,9.84,0
98011,-0.32,0.99,9.82,0
98014,-0.32,0.95,9.83,0
98017,-0.31,0.97,9.81,0
98020,-0.32,0.98,9.81,0
98023,-0.31,0.96,9.84,0
98026,-0.34,0.99,9.82,0
98029,-0.32,0.99,9.82,0
98031,-0.31,0.98,9.81,0
98034,-0.32,0.96,9.81,0
98037,-0.30,0.96,9.82,0
98040,-0.31,0.97,9.82,0
98043,-0.33,0.99,9.82,0
98046,-0.32,0.97,9.83,0
98048,-0.32,0.97,9.83,0
98051,-0.33,0.96,9.84,0
98054,-0.32,0.96,9.84,0
98057,-0.32,0.95,9.83,0
98060,-0.32,0.97,9.82,0
98062,-0.33,0.95,9.83,0
98065,-0.31,0.95,9.84,0
98068,-0.31,0.94,9.84,0
98071,-0.32,0.97,9.83,0
98074,-0.32,0.97,9.83,0
98077,-0.32,0.96,9.83,0
98080,-0.35,0.98,9.81,0
98082,-0.31,0.98,9.81,0
98085,-0.30,0.97,9.84,0
98088,-0.31,0.98,9.83,0
98091,-0.33,0.98,9.82,0
98094,-0.30,0.98,9.83,0
98097,-0.30,0.97,9.81,0
98099,-0.32,1.00,9.81,0
98102,-0.31,0.99,9.80,0
98105,-0.30,0.98,9.81,0
98108,-0.30,1.00,9.79,0
98111,-0.31,0.96,9.80,0
98113,-0.32,0.98,9.82,0
98116,-0.30,0.97,9.82,0
98119,-0.31,0.96,9.82,0
98122,-0.33,0.96,9.82,0
98125,-0.31,0.97,9.81,0
98128,-0.31,0.98,9.82,0
98131,-0.31,0.95,9.82,0
98133,-0.32,0.95,9.83,0
98136,-0.30,0.96,9.82,0
98139,-0.31,0.97,9.82,0
98142,-0.30,0.97,9.81,0
98145,-0.33,0.98,9.82,0
98147,-0.31,0.97,9.83,0
98150,-0.31,0.98,9.82,0
98153,-0.30,0.98,9.83,0
98156,-0.31,0.96,9.83,0
98159,-0.32,0.96,9.83,0
98162,-0.31,0.98,9.82,0
98164,-0.32,0.97,9.81,0
98167,-0.32,0.97,9.82,0
98170,-0.33,0.98,9.82,0
98173,-0.34,0.98,9.84,0
98176,-0.30,0.96,9.83,0
98179,-0.32,0.95,9.84,0
98181,-0.31,0.98,9.83,0
98184,-0.33,0.98,9.82,0
98187,-0.30,0.95,9.83,0
98190,-0.31,0.98,9.82,0
98193,-0.31,0.99,9.82,0
98196,-0.31,0.97,9.81,0
