timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
23006,1.83,4.77,8.38,0.00,-0.01,-0.03,-18.63,-93.32
23013,1.83,4.77,8.41,0.00,-0.01,-0.03,-18.97,-93.77
23020,1.83,4.77,8.40,0.01,-0.01,-0.02,-18.78,-93.20
23027,1.84,4.79,8.40,0.01,-0.01,-0.02,-18.85,-93.12
23034,1.83,4.77,8.37,0.01,-0.00,-0.01,-18.96,-91.10
23041,1.83,4.76,8.36,0.01,-0.00,-0.01,-19.34,-93.22
23048,1.81,4.75,8.35,0.02,-0.00,-0.00,-18.55,-92.75
23055,1.81,4.75,8.38,0.02,0.00,0.00,-19.00,-93.07
23062,1.82,4.76,8.39,0.03,0.00,-0.00,-18.58,-93.36
23069,1.81,4.74,8.39,0.03,0.00,-0.00,-18.37,-93.41
23076,1.83,4.73,8.40,0.03,0.00,-0.01,-18.80,-93.53
23083,1.87,4.73,8.40,0.03,0.00,-0.01,-19.45,-93.35
23090,1.87,4.76,8.41,0.03,0.00,-0.01,-19.29,-91.61
23097,1.87,4.76,8.40,0.03,0.00,-0.01,-18.30,-93.47
23104,1.86,4.79,8.43,0.03,0.00,-0.01,-18.82,-93.72
23111,1.85,4.80,8.44,0.03,0.00,0.00,-18.74,-93.34
23118,1.81,4.81,8.47,0.03,0.00,0.00,-18.91,-93.50
23125,1.82,4.82,8.45,0.03,0.00,0.00,-18.78,-93.72
23132,1.81,4.81,8.45,0.02,0.00,0.00,-19.16,-92.36
23139,1.82,4.83,8.46,0.02,0.00,0.00,-19.12,-93.36
23146,1.82,4.86,8.44,0.01,0.00,-0.00,-19.22,-93.35
23153,1.82,4.86,8.43,0.01,0.00,-0.00,-19.06,-93.03
23160,1.81,4.88,8.44,0.01,0.00,-0.00,-19.23,-93.07
23167,1.81,4.87,8.43,0.01,0.00,-0.00,-19.06,-92.94
23174,1.79,4.88,8.44,0.00,0.00,0.00,-19.10,-93.28
23181,1.79,4.88,8.42,0.00,0.00,0.00,-19.31,-92.65
23188,1.76,4.84,8.43,0.00,0.00,0.00,-19.34,-93.15
23195,1.78,4.82,8.43,-0.00,-0.00,0.00,-18.80,-93.25
23202,1.77,4.79,8.43,-0.01,-0.00,-0.00,-19.19,-93.58
23209,1.77,4.76,8.43,-0.01,-0.00,-0.00,-18.93,-93.00
23216,1.79,4.73,8.43,-0.01,-0.00,-0.00,-18.90,-93.53
23223,1.79,4.73,8.43,-0.01,-0.00,-0.01,-18.90,-93.42
23230,1.79,4.69,8.41,-0.00,-0.00,-0.01,-19.53,-93.48
23237,1.80,4.70,8.41,-0.00,-0.00,-0.01,-20.15,-91.82
23244,1.79,4.73,8.40,0.00,-0.01,-0.01,-20.01,-93.34
23251,1.81,4.76,8.40,0.00,-0.01,-0.02,-19.20,-93.17
23258,1.81,4.79,8.37,0.01,-0.01,-0.02,-19.58,-92.79
23265,1.82,4.82,8.37,0.01,-0.01,-0.02,-19.26,-92.94
23272,1.84,4.86,8.38,0.01,-0.01,-0.02,-18.97,-93.07
23279,1.84,4.87,8.38,0.01,-0.01,-0.01,-19.38,-91.48
23286,1.82,4.90,8.39,0.01,-0.01,-0.01,-19.70,-92.98
23293,1.83,4.91,8.39,0.01,-0.01,-0.01,-19.20,-93.41
23300,1.83,4.91,8.38,0.01,-0.01,-0.01,-19.25,-93.26
23307,1.84,4.90,8.36,0.00,-0.01,-0.00,-19.09,-93.36
23314,1.84,4.90,8.36,0.00,-0.00,0.00,-18.90,-93.51
23321,1.82,4.91,8.35,0.00,-0.00,0.00,-18.78,-93.54
23328,1.83,4.87,8.35,0.01,-0.00,0.00,-18.94,-93.80
23335,1.81,4.85,8.34,0.01,-0.00,0.01,-19.69,-92.55
23342,1.83,4.82,8.35,0.02,-0.00,0.01,-19.01,-93.55
23349,1.84,4.81,8.34,0.02,-0.00,0.01,-18.74,-93.64
23356,1.83,4.80,8.31,0.02,0.00,0.01,-19.29,-93.04
23363,1.85,4.78,8.32,0.03,0.00,0.01,-18.53,-93.12
23370,1.84,4.81,8.32,0.04,0.00,0.01,-18.81,-93.39
23377,1.83,4.83,8.34,0.04,0.00,0.01,-19.64,-91.39
23384,1.82,4.90,8.36,0.05,0.00,0.01,-18.78,-92.62
23391,1.80,4.92,8.36,0.05,0.00,0.00,-18.80,-93.13
23398,1.79,4.98,8.37,0.05,0.00,0.00,-18.80,-93.20
23405,1.81,5.01,8.38,0.05,0.00,0.00,-18.88,-93.29
23412,1.79,5.04,8.38,0.05,0.00,0.00,-18.82,-93.47
23419,1.78,5.04,8.39,0.04,0.00,-0.00,-18.74,-93.54
23426,1.79,5.06,8.41,0.04,0.00,-0.01,-18.63,-92.96
